time        close
2005-05-09   909.1700
2005-05-10   913.0800
2005-05-11   901.8500
2005-05-12   885.8200
2005-05-13   887.5400
2005-05-16   875.2700
2005-05-17   881.4600
2005-05-18   883.2000
2005-05-19   884.1700
2005-05-20   882.7600
2005-05-23   863.3400
2005-05-24   868.4600
2005-05-25   868.4500
2005-05-26   857.3300
2005-05-27   849.5100
2005-05-30   855.6100
2005-05-31   855.9500
2005-06-01   837.5300
2005-06-02   818.3800
2005-06-03   818.0300
2005-06-06   839.0000
2005-06-07   837.2800
2005-06-08   905.7700
2005-06-09   912.6000
2005-06-10   894.5600
2005-06-13   892.9600
2005-06-14   883.5400
2005-06-15   866.8300
2005-06-16   879.2400
2005-06-17   880.3500
2005-06-20   906.2500
2005-06-21   896.1700
2005-06-22   900.6500
2005-06-23   893.5700
2005-06-24   898.3000
2005-06-27   916.0400
2005-06-28   903.7200
2005-06-29   898.9000
2005-06-30   878.6900
2005-07-01   859.4900
2005-07-04   855.9300
2005-07-05   849.6800
2005-07-06   842.5600
2005-07-07   844.7300
2005-07-08   829.4900
2005-07-11   824.1000
2005-07-12   851.8200
2005-07-13   846.2300
2005-07-14   849.5900
2005-07-15   841.0000
2005-07-18   833.0000
2005-07-19   835.6100
2005-07-20   842.6400
2005-07-21   843.9900
2005-07-22   859.6900
2005-07-25   856.8600
2005-07-26   876.4800
2005-07-27   894.0100
2005-07-28   890.8800
2005-07-29   888.1600
2005-08-01   891.6100
2005-08-02   903.6000
2005-08-03   909.5700
2005-08-04   904.1500
2005-08-05   923.8000
2005-08-08   927.4700
2005-08-09   933.0900
2005-08-10   940.3700
2005-08-11   953.9900
2005-08-12   938.3200
2005-08-15   954.5000
2005-08-16   945.0600
2005-08-17   953.0100
2005-08-18   920.6700
2005-08-19   923.0400
2005-08-22   931.6700
2005-08-23   923.4100
2005-08-24   930.6500
2005-08-25   930.1200
2005-08-26   928.2600
2005-08-29   917.3700
2005-08-30   914.8800
2005-08-31   927.9200
2005-09-01   944.5600
2005-09-02   947.8700
2005-09-05   952.7200
2005-09-06   936.6100
2005-09-07   952.7600
2005-09-08   955.2800
2005-09-09   949.0700
2005-09-12   949.5100
2005-09-13   963.7700
2005-09-14   970.1900
2005-09-15   969.6000
2005-09-16   967.5000
2005-09-19   971.1400
2005-09-20   961.9200
2005-09-21   944.4100
2005-09-22   923.2700
2005-09-23   916.1500
2005-09-26   918.4900
2005-09-27   904.2100
2005-09-28   903.7200
2005-09-29   915.9800
2005-09-30   917.3900
